title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
Our Family Wedding (2010)	Rick Famuyiwa	4.9	5786	2010	Comedy	20246959	14000000	103	Shannyn Sossamon	1180	F	America Ferrera	1762	F	Taye Diggs	1773	M	Forest Whitaker	1800	M	Charlie Murphy	2657	M	Noel Gugliemi	3682	M	Our marriage their wedding. It's lesson number one for any newly engaged couple and Lucia and Marcus are no exception. In Our Family Wedding they learn the hard way that the path to saying "I do" can be rife with familial strife. When they return from college and too suddenly announce their marriage plans they soon discover that their fathers - two highly competitive over-the-top egos - can wreak a major amount of havoc on their special day. With insults flying and tempers running high it's anyone's guess if the alpha dads will survive to make it down the aisle in one piece. Lucia's mother is busy planning the wedding of "her" dreams and the only levelheaded one in the bunch is Angela the groom's father's best friend and lawyer who manages to keep her cool when the madness reaches a crescendo. With only weeks to plan their wedding Lucia and Marcus soon discover the true meaning of love and find there is truth to the saying - that when you marry someone you marry their entire family.
Baggage Claim (2013)	David E. Talbert	5.1	7216	2013	Comedy	21549737	8500000	96	Paula Patton	259	F	Christina Milian	1317	F	Adam Brody	1532	M	Taye Diggs	1773	M	Djimon Hounsou	2067	M	Boris Kodjoe	3182	M	Determined to get engaged before her youngest sister's wedding flight attendant Montana Moore ('Paula Patton' (qv)) finds herself with only 30 days to find Mr. Right. Using her airline connections to "accidentally" meet up with eligible ex-boyfriends and scour for potential candidates she racks up more than 30000 miles and countless comedic encounters all the while searching for the perfect guy.
The Hunger Games: Mockingjay - Part 1 (2014)	Francis (II) Lawrence	6.7	313090	2014	Adventure	755356711	125000000	123	Sam Claflin	164	M	Natalie Dormer	181	F	Jena Malone	496	F	Mahershala Ali	541	M	Liam Hemsworth	594	M	Jeffrey Wright	739	M	With the Games destroyed Katniss Everdeen along with Gale Finnick and Beetee end up in the so thought "destroyed" District 13. Under the leadership of President Coin and the advice of her friends Katniss becomes the "Mockingjay" the symbol of rebellion for the districts of Panem.
St. Vincent (2014)	Theodore Melfi	7.3	75832	2014	Comedy	54837234	13000000	102	Bill Murray	195	M	Melissa McCarthy	241	F	Naomi Watts	423	F	Chris O'Dowd	1787	M	Terrence Howard	3300	M	Greta Lee	3340	F	Vincent is an old Vietnam vet whose stubbornly hedonistic ways have left him without money or a future. Things change when his new next-door neighbor's son Oliver needs a babysitter and Vince is willing enough for a fee. From that self-serving act an unexpected friendship forms as Vincent and Oliver find so much of each other's needs through each other. As Vincent mentors Oliver in street survival and other worldly ways Oliver begins to see more in the old man than just his foibles. When life takes a turn for the worse for Vincent both them find the best in each other than no one around them suspects.
Autumn in New York (2000)	Joan (I) Chen	5.5	20496	2000	Drama	90726668	65000000	103	Winona Ryder	30	F	Vera Farmiga	340	F	J.K. Simmons	810	M	Richard Gere	1368	M	Kali Rocha	2006	F	Jill Hennessy	4244	F	Forty-eight year old Will Keane is a successful restaurateur and serial womanizer his reputation generally preceding him. When he is introduced to twenty-two year old Charlotte Fielding by Charlotte's grandmother Will's old friend Dolly who he has not seen in years there is a mutual but slow to acknowledge attraction. After their first date Will and Charlotte agree that their relationship will never progress to one of a long term standing but for different reasons: while this is Will's somewhat standard modus operandi Charlotte announces that she has a terminal heart condition. Charlotte's admission makes Will look at this relationship differently he being told by his best friend John that if he is going to continue to date Charlotte that he better treat her well. Their relationship does end up being different than both expect for Charlotte which could mean a change from her current "let me die in peace" attitude to want to fight for her life. And Will's time with Charlotte is further influenced by his encounter with a young woman named Lisa Tyler.
Nicholas Nickleby (2002)	Douglas McGrath	7.2	9472	2002	Drama	1587173	10000000	132	Charlie Hunnam	246	M	Anne Hathaway	344	F	Jamie Bell	1078	M	Kevin McKidd	1181	M	Christopher Plummer	1860	M	Alan Cumming	2140	M	Young Nicholas and his family enjoy a comfortable life until Nicholas' father dies and the family is left penniless. Nicholas his sister and mother venture to London to seek help from their Uncle Ralph but Ralph's only intentions are to separate the family and exploit them. Nicholas is sent to a school run by the cruel abusive and horridly entertaining Wackford Squeers. Eventually Nicholas runs away with schoolmate Smike and the two set off to reunite the Nickleby family.
Jarhead (2005)	Sam (I) Mendes	7.1	145226	2005	Action	96889998	72000000	125	Jake Gyllenhaal	73	M	John Krasinski	628	M	Peter Sarsgaard	1293	M	Lucas Black	1384	M	Jamie Foxx	2048	M	Dennis Haysbert	2705	M	Anthony "Swoff" Swofford a Camus-reading kid from Sacramento enlists in the Marines in the late 1980s. He malingers during boot camp but makes it through as a sniper paired with the usually-reliable Troy. The Gulf War breaks out and his unit goes to Saudi Arabia for Desert Shield. After 175 days of boredom adrenaline heat worry about his girlfriend finding someone else losing it and nearly killing a mate demotion latrine cleaning faulty gas masks and desert football Desert Storm begins. In less than five days it's over but not before Swoff sees burned bodies flaming oil derricks an oil-drenched horse and maybe a chance at killing. Where does all the testosterone go?
Native Son (1986)	Jerrold Freedman	5.9	427	1986	Drama	1301121	2000000	111	Matt Dillon	2280	M	Ving Rhames	3139	M	Carroll Baker	4666	F	Oprah Winfrey	5535	F	Geraldine Page	7732	F	David Rasche	8483	M	Bigger Thomas an African American who lives in an impoverished neighborhood is employed by a prosperous white family who live in the suburbs of a major city. The money Bigger makes at his new job will be used to supplement his mother's income. As a chauffeur he is directed by the father of the family to take Mary the daughter to the university. Instead Mary decides to pick up her Socialist boyfriend Jan and to spend the time drinking and partying. Jan and Mary portray a young liberal couple who venture into a black neighborhood with Bigger for the sole purpose of being entertained at Ernie's a black nightclub. On the way home Mary becomes inebriated and Bigger must get her to her bedroom without being detected. Mary's mother who is blind enters the room and Bigger panics at the thought of being caught with a white woman. He accidentally kills Mary by placing a pillow over her head to keep her quiet. Still frightened Bigger disposes of the body in the furnace possibly because he feels he would not get a fair trial for the accidental death of a white woman. Meanwhile Jan is wanted by the police for Mary's murder and Bigger plays a role in the accusations against him.
The Dark Knight (2008)	Christopher (I) Nolan	9	1708992	2008	Action	1004558444	185000000	152	Cillian Murphy	172	M	Christian Bale	247	M	Gary Oldman	429	M	Heath Ledger	435	M	William Fichtner	861	M	Morgan Freeman	932	M	Set within a year after the events of Batman Begins Batman Lieutenant James Gordon and new district attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City until a mysterious and sadistic criminal mastermind known only as the Joker appears in Gotham creating a new wave of chaos. Batman's struggle against the Joker becomes deeply personal forcing him to "confront everything he believes" and improve his technology to stop him. A love triangle develops between Bruce Wayne Dent and Rachel Dawes.
Rush (2013/I)	Ron (I) Howard	8.1	320550	2013	Action	90247624	38000000	123	Chris Hemsworth	133	M	Natalie Dormer	181	F	Olivia Wilde	385	F	James Norton	1170	M	Tom Wlaschiha	2996	M	Alexandra Maria Lara	3172	F	Set against the sexy glamorous golden age of Formula 1 racing in the 1970s the film is based on the true story of a great sporting rivalry between handsome English playboy 'James Hunt (II)' (qv) (Hemsworth) and his methodical brilliant opponent Austrian driver 'Niki Lauda' (qv) (Bruhl). The story follows their distinctly different personal styles on and off the track their loves and the astonishing 1976 season in which both drivers were willing to risk everything to become world champion in a sport with no margin for error: if you make a mistake you die.
Simpatico (1999)	Matthew Warchus	4.5	2996	1999	Comedy	902144	10000000	101	Jeff Bridges	1089	M	Kimberly Williams-Paisley	1885	F	Catherine Keener	1925	F	Nick Nolte	2245	M	Angus T. Jones	2354	M	Albert Finney	2736	M	As youths in Azusa Vinnie Carter and Rosie pull off a racing scam substituting winners for plodders and winning big bucks on long odds. When an official uncovers the scam they set him up for blackmail. Jump ahead twenty years Carter and Rosie are married successful racers in Kentucky about to sell their prize stallion Simpatico. Vinnie is a drunk in Pomona. Vinnie decides to make a play for Rosie lures Carter to California steals his wallet and heads for Kentucky with the original blackmail material. Carter begs Vinnie's friend a grocery clerk named Cecilia to follow Vinnie and get the stuff back that he has in a box. Will she succeed?
Money Talks (1997)	Brett Ratner	6.1	22987	1997	Action	41067398	25000000	97	Charlie Sheen	995	M	Heather Locklear	1877	F	Veronica Cartwright	2189	F	Chris Tucker	2291	M	David Warner	3558	M	Rance Howard	5665	M	Chris Tucker is a small time con man who instantly becomes famous after a murder wanted dead or alive his only hope is a journalist named James Russell (Sheen).
Who Framed Roger Rabbit (1988)	Robert Zemeckis	7.7	143287	1988	Adventure	349200000	70000000	104	Christopher Lloyd	712	M	Jim Cummings	2912	M	Frank Welker	4150	M	Frank Sinatra	4441	M	Bob Hoskins	4938	M	Mel Blanc	9052	M	Toon star Roger is worried that his wife Jessica is playing pattycake with someone else so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect. Groundbreaking interaction between the live and animated characters and lots of references to classic animation.
Space Jam (1996)	Joe Pytka	6.3	114192	1996	Adventure	230418342	80000000	88	Bill Murray	195	M	Patricia Heaton	1718	F	Danny DeVito	1812	M	Dan Castellaneta	3285	M	Wayne Knight	3471	M	Frank Welker	4150	M	Swackhammer owner of the amusement park planet Moron Mountain is desperate get new attractions and he decides that the Looney Tune characters would be perfect. He sends his diminutive underlings to get them to him whether Bugs Bunny & Co. want to go or not. Well armed for their size Bugs Bunny is forced to trick them into agreeing to a competition to determine their freedom. Taking advantage of their puny and stubby legged foes the gang selects basketball for the surest chance of winning. However the Nerdlucks turn the tables and steal the talents of leading professional basketball stars to become massive basketball bruisers known as the Monstars. In desperation Bugs Bunny calls on the aid of Micheal Jordan the Babe Ruth of Basketball to help them have a chance at winning their freedom.
