title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
Planes (2013),Klay Hall,5.8,35482,2013,Adventure,239258712,50000000,91,Val Kilmer,132,M,Priyanka Chopra,244,F,Teri Hatcher,1074,F,Julia Louis-Dreyfus,1871,F,Anthony Edwards,2293,M,Brad Garrett,2945,M
Gone Baby Gone (2007),Ben Affleck,7.7,196713,2007,Crime,20300218,19000000,114,Ed Harris,256,M,Michelle Monaghan,364,F,Casey Affleck,858,M,Morgan Freeman,932,M,Michael Kenneth Williams,1967,M,Titus Welliver,3102,M
Geronimo: An American Legend (1993),Walter (I) Hill,6.5,6760,1993,Drama,18635620,35000000,115,Matt Damon,268,M,Jason Patric,1414,M,Gene Hackman,1519,M,Robert Duvall,1985,M,Scott Wilson,2243,M,Billy Brown,3461,M
Confessions of a Dangerous Mind (2002),George Clooney,7.1,72314,2002,Biography,16003576,29000000,113,Brad Pitt,91,M,Matt Damon,268,M,Sam Rockwell,323,M,George Clooney,682,M,Michael Cera,1124,M,Maggie Gyllenhaal,1282,F
Mimic (1997),Guillermo del Toro,5.9,37349,1997,Horror,25480490,25000000,112,Norman Reedus,63,M,Doug Jones,426,M,Josh Brolin,856,M,Jeremy Northam,1720,M,Mira Sorvino,1768,F,F. Murray Abraham,3937,M
The Tempest (2010/I),Julie Taymor,5.4,6248,2010,Comedy,405861,20000000,110,Reeve Carney,207,M,Ben Whishaw,1569,M,Djimon Hounsou,2067,M,Alan Cumming,2140,M,Russell Brand,2849,M,Alfred Molina,3023,M
Tumbleweeds (1999),Gavin (I) O'Connor,6.7,2959,1999,Comedy,1788168,312000,102,Kimberly J. Brown,717,F,Gavin O'Connor,1930,M,Janet McTeer,2494,F,Noah Emmerich,4019,M,Michael J. Pollard,6906,M,Jay O. Sanders,9183,M
Pacific Rim (2013),Guillermo del Toro,7,386843,2013,Action,411002906,190000000,131,Idris Elba,104,M,Charlie Hunnam,246,M,Clifton Collins Jr.,404,M,Ron Perlman,693,M,Max Martini,2529,M,Charlie Day,2630,M
The Last Kiss (2006),Tony Goldwyn,6.5,38297,2006,Comedy,11596143,20000000,104,Harold Ramis,691,M,Casey Affleck,858,M,Rachel Bilson,1173,F,Jacinda Barrett,1497,F,Lauren Lee Smith,1676,F,Marley Shelton,2145,F
The Grudge (2004),Takashi (I) Shimizu,5.9,116950,2004,Horror,187281115,10000000,98,Sarah Michelle Gellar,424,F,Bill Pullman,1220,M,Clea DuVall,1880,F,KaDee Strickland,3004,F,Ted Raimi,3369,M,Jason Behr,4429,M
Valentine's Day (2010/I),Garry (I) Marshall,5.7,96452,2010,Comedy,216485654,52000000,125,Anne Hathaway,344,F,Bradley Cooper,507,M,Jessica Alba,588,F,Taylor Lautner,696,M,Ashton Kutcher,718,M,Patrick Dempsey,803,M
Romeo Is Bleeding (1993),Peter (I) Medak,6.6,10880,1993,Action,3275585,11500000,106,Gary Oldman,429,M,Michael Wincott,522,M,Ron Perlman,693,M,James Cromwell,1645,M,Annabella Sciorra,3507,F,Lena Olin,3869,F
Bar Starz (2008),Michael Pietrzak,5.3,138,2008,Comedy,11600,7000000,105,Jon Bernthal,153,M,Elena Satine,1250,F,Sam Horrigan,1446,M,Charlie Murphy,2657,M,Jayma Mays,2699,F,Daniel Franzese,3647,M
Shanghai Knights (2003),David Dobkin,6.2,82763,2003,Action,88323487,50000000,114,Aaron Taylor-Johnson,167,M,Jackie Chan,859,M,Donnie Yen,1001,M,Owen Wilson,1404,M,Aidan Gillen,1946,M,Barbara Nedeljakova,5479,F
Platoon (1986),Oliver (I) Stone,8.1,296669,1986,Drama,138530565,6000000,120,Johnny Depp,28,M,John C. McGinley,599,M,Charlie Sheen,995,M,Willem Dafoe,1564,M,Forest Whitaker,1800,M,Tom Berenger,1966,M
Jurassic World (2015),Colin Trevorrow,7,429316,2015,Action,1670400637,150000000,124,Bryce Dallas Howard,13,F,Chris Pratt,129,M,Vincent D'Onofrio,776,M,Judy Greer,1242,F,Irrfan Khan,1537,M,Jake Johnson,1666,M
Misconduct (2016),Shintaro Shimosawa,5.3,8070,2016,Drama,627330,11000000,106,Alice Eve,102,F,Anthony Hopkins,266,M,Julia Stiles,356,F,Malin Akerman,438,F,Al Pacino,510,M,Josh Duhamel,1663,M
Clueless (1995),Amy Heckerling,6.8,126185,1995,Comedy,77331572,12000000,97,Alicia Silverstone,552,F,Paul Rudd,579,M,Jeremy Sisto,2373,M,Wallace Shawn,3050,M,Stacey Dash,3104,F,Breckin Meyer,3755,M
Hachi: A Dog's Tale (2009),Lasse Hallström,8.1,161531,2009,Drama,45000000,16000000,93,Richard Gere,1368,M,Michael Kelly,2331,M,Sarah Roemer,2620,F,Jason Alexander,4284,M,Cary-Hiroyuki Tagawa,5085,M,Robert Capron,5098,M
Mississippi Burning (1988),Alan (I) Parker,7.8,66581,1988,Crime,34603943,15000000,128,Brad Dourif,730,M,Michael Rooker,905,M,Gene Hackman,1519,M,Willem Dafoe,1564,M,Frances McDormand,2917,F,Tobin Bell,3011,M
Manderlay (2005),Lars von Trier,7.4,18844,2005,Drama,547479,14200000,139,Bryce Dallas Howard,13,F,Willem Dafoe,1564,M,John Hurt,1836,M,Danny Glover,2219,M,Lauren Bacall,2806,F,Jeremy Davies,3238,M
The Transformers: The Movie (1986),Nelson (I) Shin,7.3,32356,1986,Action,5849647,6000000,85,Leonard Nimoy,2288,M,Orson Welles,2455,M,Judd Nelson,2588,M,Frank Welker,4150,M,Scatman Crothers,5334,M,Peter Cullen,5793,M
Leonard Part 6 (1987),Paul Weiland,2.2,7125,1987,Action,4916871,24000000,85,Jane Fonda,1545,F,Victoria Rowell,5555,F,Leo Rossi,6104,M,Grace Zabriskie,6580,F,Tom Courtenay,6768,M,Bill Cosby,6869,M
The Forgotten (2004),Joseph Ruben,5.8,57998,2004,Drama,117592831,42000000,94,Julianne Moore,818,F,Alfre Woodard,1079,F,Dominic West,1314,M,Anthony Edwards,2293,M,Gary Sinise,2720,M,Linus Roache,3147,M
Elizabeth: The Golden Age (2007),Shekhar Kapur,6.9,55446,2007,Biography,16264475,55000000,114,Eddie Redmayne,64,M,Cate Blanchett,480,F,Abbie Cornish,1342,F,Clive Owen,1495,M,Geoffrey Rush,1529,M,Rhys Ifans,2094,M
St. Trinian's (2007),Oliver (I) Parker,5.8,18440,2007,Comedy,24487595,13500000,97,Gemma Arterton,274,F,Lena Headey,276,F,Talulah Riley,310,F,Juno Temple,561,F,Colin Firth,755,M,Mischa Barton,1285,F
The Dilemma (2011),Ron (I) Howard,5.3,44197,2011,Comedy,69721966,70000000,111,Winona Ryder,30,F,Jennifer Connelly,229,F,Talulah Riley,310,F,Vince Vaughn,484,M,Channing Tatum,534,M,Kevin James,965,M
Chasing Liberty (2004),Andy Cadiff,6.1,30500,2004,Comedy,12189514,23000000,101,Matthew Goode,857,M,Mark Harmon,1593,M,Jeremy Piven,2819,M,Annabella Sciorra,3507,F,Caroline Goodall,6138,F,Miriam Margolyes,7306,F
Alvin and the Chipmunks: The Road Chip (2015),Walt Becker,5.1,10092,2015,Adventure,234758158,90000000,92,Bella Thorne,149,F,Kaley Cuoco,326,F,Anna Faris,565,F,Christina Applegate,799,F,Matthew Gray Gubler,1029,M,Justin Long,1447,M
Miami Blues (1990),George Armitage,6.4,6163,1990,Comedy,9888167,11000000,97,Jennifer Jason Leigh,705,F,Alec Baldwin,1207,M,Fred Ward,4936,M,Charles Napier,8015,M,Paul Gleason,8031,M,Martine Beswick,8223,F
The Horse Whisperer (1998),Robert (I) Redford,6.6,32737,1998,Drama,186883563,60000000,170,Scarlett Johansson,89,F,Sam Neill,1192,M,Robert Redford,1217,M,Kate Bosworth,1298,F,Dianne Wiest,1779,F,Kristin Scott Thomas,2341,F
The Sixth Man (1997),Randall (I) Miller,5.6,4507,1997,Comedy,14708874,11000000,107,Marlon Wayans,2697,M,Octavia Spencer,3215,F,Michael Michele,5182,F,Will Sasso,6669,M,Kadeem Hardison,7452,M,Kevin Dunn,7630,M
L!fe Happens (2011),Kat Coiro,5.7,6155,2011,Comedy,2000000,930000,100,Krysten Ritter,262,F,Milana Vayntrub,363,F,Rachel Bilson,1173,F,Kate Bosworth,1298,F,Jon Heder,2711,M,Colin Egglesfield,2731,M
Prince of Persia: The Sands of Time (2010),Mike (I) Newell,6.6,225582,2010,Action,335154643,200000000,116,Jake Gyllenhaal,73,M,Gemma Arterton,274,F,Toby Kebbell,339,M,Richard Coyle,1465,M,Ben Kingsley,1701,M,Alfred Molina,3023,M
A Life Less Ordinary (1997),Danny Boyle,6.4,30358,1997,Comedy,4700000,12000000,103,Ewan McGregor,141,M,Timothy Olyphant,715,M,Cameron Diaz,736,F,Stanley Tucci,1523,M,Tony Shalhoub,3832,M,Dan Hedaya,4079,M
Pandorum (2009),Christian (I) Alvart,6.8,122816,2009,Action,10330853,33000000,108,Norman Reedus,63,M,Ben Foster,134,M,Cam Gigandet,1230,M,Dennis Quaid,1751,M,Antje Traue,2462,F,Jon Foster,6928,M
Spider-Man (2002),Sam Raimi,7.3,553081,2002,Action,821708551,139000000,121,James Franco,192,M,Matt Smith,360,M,Kirsten Dunst,444,F,Lucy Lawless,493,F,Bruce Campbell,700,M,J.K. Simmons,810,M
Racing Stripes (2005),Frederik Du Chau,5.2,12761,2005,Adventure,90754475,30000000,102,Hayden Panettiere,672,F,Michael Rosenbaum,1547,M,Michael Clarke Duncan,1632,M,Joshua Jackson,1847,M,Dustin Hoffman,1854,M,David Spade,2143,M
The Hitchhiker's Guide to the Galaxy (2005),Garth Jennings,6.8,157756,2005,Adventure,104478416,50000000,109,Sam Rockwell,323,M,Zooey Deschanel,372,F,Alan Rickman,591,M,Martin Freeman,1263,M,Bill Nighy,1586,M,Thomas Lennon,1731,M
Spider-Man 3 (2007),Sam Raimi,6.2,389662,2007,Action,890871626,258000000,156,Bryce Dallas Howard,13,F,James Franco,192,M,Kirsten Dunst,444,F,Bruce Campbell,700,M,J.K. Simmons,810,M,Joe Manganiello,852,M
Oliver & Company (1988),George Scribner,6.7,33055,1988,Adventure,74151346,4000000,74,Bette Midler,315,F,Jonathan Brandis,1007,M,Joey Lawrence,2332,M,Robert Loggia,2695,M,Greg Finley,2717,M,Frank Welker,4150,M
Drive Me Crazy (1999),John (I) Schultz,5.7,15120,1999,Comedy,22593409,8500000,91,Ali Larter,200,F,Mark Webber,1149,M,Melissa Joan Hart,1358,F,Adrian Grenier,2908,M,Stephen Collins,5176,M,Jordan Bridges,5979,M
Sunshine Cleaning (2008),Christine Jeffs,6.9,61597,2008,Comedy,16174377,8000000,91,Emily Blunt,42,F,Clifton Collins Jr.,404,M,Eric Christian Olsen,2229,M,Steve Zahn,2600,M,Mary Lynn Rajskub,2605,F,Alan Arkin,4606,M
The Good Girl (2002),Miguel Arteta,6.5,38291,2002,Drama,14015786,8000000,93,Jake Gyllenhaal,73,M,Jennifer Aniston,177,F,Zooey Deschanel,372,F,Aimee Garcia,1553,F,John Carroll Lynch,2155,M,John C. Reilly,2501,M
Saw (2004),James (I) Wan,7.7,304759,2004,Horror,103911669,1200000,103,Cary Elwes,1002,M,Dina Meyer,1087,F,Monica Potter,1125,F,Shawnee Smith,1279,F,Danny Glover,2219,M,Tobin Bell,3011,M
Not Fade Away (2012),David (II) Chase,6,3719,2012,Drama,574508,20000000,112,Bella Heathcote,434,F,Jack Huston,1176,M,Dominic Sherwood,2039,M,James Gandolfini,2398,M,Orson Welles,2455,M,Brad Garrett,2945,M
The Wrestler (2008),Darren Aronofsky,7.9,253797,2008,Drama,26236603,6000000,109,Evan Rachel Wood,1,F,Mickey Rourke,627,M,Marisa Tomei,734,F,Mark Margolis,4900,M,Judah Friedlander,8990,M,Kevin McDonald,9335,M
Sex Tape (2014),Jake Kasdan,5.1,85995,2014,Comedy,126069509,40000000,94,Cameron Diaz,736,F,Jolene Blalock,841,F,Rob Lowe,880,M,Jack Black,985,M,Jason Segel,1273,M,Ellie Kemper,1441,F
The Perfect Man (2005),Mark Rosman,5.5,23834,2005,Comedy,16247775,25000000,100,Hilary Duff,870,F,Ben Feldman,1516,M,Heather Locklear,1877,F,Chris Noth,3070,M,Vanessa Lengies,3429,F,Mike O'Malley,4461,M
The Young Messiah (2016),Cyrus Nowrasteh,5.4,1699,2016,Drama,6462576,18500000,111,Sean Bean,1070,M,David Bradley,2395,M,Jonathan Bailey,5289,M,Christopher Jones,6307,M,Christopher Jones,6307,M,Clive Russell,7675,M
Broadcast News (1987),James L. Brooks,7.2,21537,1987,Comedy,67331309,20000000,133,Jack Nicholson,468,M,Joan Cusack,519,F,John Cusack,619,M,William Hurt,1334,M,Albert Brooks,1625,M,Robert Prosky,8210,M
Friday (1995),F. Gary Gray,7.3,76075,1995,Comedy,27900000,3500000,97,Nia Long,523,F,Michael Clarke Duncan,1632,M,Ice Cube,1833,M,Meagan Good,2093,F,Chris Tucker,2291,M,Tommy 'Tiny' Lister,4521,M
Cameraman: The Life and Work of Jack Cardiff (2010),Craig (I) McCall,7.8,906,2010,Biography,20019,500000,86,Sylvester Stallone,224,M,Martin Scorsese,596,M,Kirk Douglas,1161,M,Marilyn Monroe,1210,F,Sophia Loren,1647,F,John Wayne,1771,M
The Legend of Hercules (2014),Renny Harlin,4.2,45408,2014,Action,18821279,70000000,99,Scott Adkins,589,M,Kellan Lutz,2298,M,Liam McIntyre,3506,M,Johnathon Schaech,3597,M,Roxanne McKee,3969,F,Gaia Weiss,5760,F
Bride of Chucky (1998),Ronny Yu,5.3,40454,1998,Comedy,50671850,25000000,89,Kathy Najimy,333,F,Katherine Heigl,615,F,Brad Dourif,730,M,Jennifer Tilly,840,F,Alexis Arquette,1660,F,John Ritter,2023,M
Major League II (1994),David S. Ward,5.5,20762,1994,Comedy,30626182,25000000,105,Charlie Sheen,995,M,Rene Russo,1332,F,Tom Berenger,1966,M,Michael Kelly,2331,M,Dennis Haysbert,2705,M,Omar Epps,3336,M
Robin Hood (2010),Ridley Scott,6.7,214383,2010,Action,321669741,200000000,156,Luke Evans,52,M,Oscar Isaac,469,M,Cate Blanchett,480,F,Russell Crowe,633,M,Kevin Durand,873,M,Mark Strong,1139,M
Predators (2010),Nimród Antal,6.4,173354,2010,Action,127233108,40000000,107,Mahershala Ali,541,M,Danny Trejo,851,M,Topher Grace,1105,M,Adrien Brody,1163,M,Walton Goggins,1406,M,Alice Braga,1894,F
Atlantis: The Lost Empire (2001),Gary Trousdale,6.8,74102,2001,Action,186053000,120000000,95,Michael J. Fox,1160,M,Leonard Nimoy,2288,M,James Garner,2567,M,David Ogden Stiers,2638,M,Jim Cummings,2912,M,Jim Varney,3394,M
Babel (2006/I),Alejandro G. Iñárritu,7.5,246744,2006,Drama,135330182,25000000,143,Brad Pitt,91,M,Elle Fanning,250,F,Clifton Collins Jr.,404,M,Cate Blanchett,480,F,Rinko Kikuchi,2934,F,Harriet Walter,3585,F
Django Unchained (2012),Quentin Tarantino,8.5,978431,2012,Drama,425368238,100000000,165,Leonardo DiCaprio,38,M,Quentin Tarantino,148,M,Samuel L. Jackson,581,M,Christoph Waltz,600,M,Jonah Hill,665,M,Amber Tamblyn,1262,F
The Hunger Games (2012),Gary (I) Ross,7.3,711057,2012,Adventure,694394724,78000000,142,Alexander Ludwig,495,M,Wes Bentley,558,M,Liam Hemsworth,594,M,Woody Harrelson,943,M,Isabelle Fuhrman,958,F,Josh Hutcherson,1049,M
Wanted (2008),Timur Bekmambetov,6.7,303291,2008,Action,341433252,75000000,110,Chris Pratt,129,M,James McAvoy,201,M,Angelina Jolie,210,F,Morgan Freeman,932,M,Terence Stamp,2540,M,Kristen Hager,3208,F
Dolphin Tale 2 (2014),Charles Martin Smith,6.4,6196,2014,Drama,33618190,36000000,107,Morgan Freeman,932,M,Ashley Judd,1017,F,Juliana Harkavy,1630,F,Harry Connick Jr.,2460,M,Kris Kristofferson,3617,M,Charles Martin Smith,5204,M
Renaissance Man (1994),Penny (I) Marshall,6.1,13980,1994,Comedy,24332324,40000000,128,Mark Wahlberg,398,M,Danny DeVito,1812,M,Paul Anderson,1979,M,Alanna Ubach,2836,F,Stacey Dash,3104,F,James Remar,3295,M
Miracle at St. Anna (2008),Spike Lee,6,15809,2008,Action,7916887,45000000,160,Joseph Gordon-Levitt,342,M,Walton Goggins,1406,M,John Turturro,1451,M,Michael Ealy,1471,M,John Leguizamo,1748,M,Michael Kenneth Williams,1967,M
Music and Lyrics (2007),Marc (II) Lawrence,6.5,82393,2007,Comedy,145896422,40000000,95,Haley Bennett,33,F,Hugh Grant,1575,M,Scott Porter,2458,M,Matthew Morrison,2812,M,Brad Garrett,2945,M,Campbell Scott,5235,M
Beyond the Mat (1999),Barry W. Blaustein,7.6,6869,1999,Biography,2047570,500000,108,Dwayne Johnson,242,M,Donna Spangler,1140,F,Adam Copeland,2815,M,Steve Austin,5699,M,Robert Maillet,6376,M,Mark Calaway,7971,M
Basquiat (1996),Julian Schnabel,6.9,16084,1996,Biography,2961991,3300000,108,Sam Rockwell,323,M,Gary Oldman,429,M,Michael Wincott,522,M,Claire Forlani,654,F,Jeffrey Wright,739,M,Parker Posey,796,F
Bewitched (2005),Nora Ephron,4.8,59216,2005,Comedy,131426169,85000000,102,Nicole Kidman,415,F,Wendi McLendon-Covey,702,F,Will Ferrell,786,M,Steve Carell,1072,M,Kristin Chenoweth,1596,F,Michael Caine,1633,M
Alive (1993),Frank (I) Marshall,7.1,39537,1993,Adventure,36733909,32000000,120,Ethan Hawke,577,M,John Malkovich,1861,M,Josh Lucas,1968,M,Michael DeLorenzo,3967,M,Illeana Douglas,4572,F,Danny Nucci,6033,M
Blade (1998),Stephen Norrington,7.1,194664,1998,Action,131183530,45000000,110,Traci Lords,1607,F,Wesley Snipes,1754,M,Sanaa Lathan,2174,F,Donal Logue,2574,M,Kenny Johnson,2633,M,Stephen Dorff,3542,M
The World's End (2013),Edgar Wright,7,189807,2013,Action,46089287,20000000,109,Rosamund Pike,72,F,Simon Pegg,528,M,Pierce Brosnan,752,M,Martin Freeman,1263,M,Bill Nighy,1586,M,Rafe Spall,1941,M
Possession (2002),Neil LaBute,6.4,11708,2002,Drama,10103647,25000000,102,Lena Headey,276,F,Aaron Eckhart,1046,M,Gwyneth Paltrow,1150,F,Toby Stephens,1421,M,Jennifer Ehle,1605,F,Jeremy Northam,1720,M
Clubland (1999),Mary (I) Lambert,5.3,187,1999,Music,12598,1000000,94,Lori Petty,911,F,Alexis Arquette,1660,F,Mark Pellegrino,2364,M,Lisa Robin Kelly,3189,F,Lee Arenberg,5816,M,Rodney Eastman,6608,M
Terror Firmer (1999),Lloyd Kaufman,6.2,4006,1999,Comedy,1434,500000,124,Eli Roth,1413,M,Trey Parker,3713,M,Ron Jeremy,4295,M,Debbie Rochon,4403,F,Matt Stone,6631,M,Richard Johnson,7966,M
Wish I Was Here (2014),Zach Braff,6.7,30248,2014,Comedy,5483299,6000000,106,Joey King,336,F,Jim Parsons,1082,M,Mandy Patinkin,1722,M,Josh Gad,1943,M,Zach Braff,2618,M,Donald Faison,4558,M
Fever Pitch (2005),Bobby Farrelly,6.2,36573,2005,Comedy,42071069,30000000,104,Stephen King,1232,M,JoBeth Williams,1823,F,Ione Skye,2224,F,Jimmy Fallon,2308,M,KaDee Strickland,3004,F,Siobhan Fallon Hogan,3663,F
Seven Pounds (2008),Gabriele Muccino,7.7,236641,2008,Drama,168168201,55000000,123,Will Smith,215,M,Rosario Dawson,354,F,Woody Harrelson,943,M,Bojana Novakovic,1366,F,Michael Ealy,1471,M,Madison Pettis,1741,F
Cry_Wolf (2005),Jeff Wadlow,5.9,23257,2005,Drama,15585495,1000000,90,Jared Padalecki,343,M,Lindy Booth,1099,F,Julian Morris,3339,M,Gary Cole,3601,M,Jon Bon Jovi,4261,M,Anna Deavere Smith,8588,F
The Ballad of Jack and Rose (2005),Rebecca (I) Miller,6.7,9510,2005,Drama,712294,1500000,112,Jena Malone,496,F,Daniel Day-Lewis,651,M,Paul Dano,830,M,Jason Lee,1568,M,Catherine Keener,1925,F,Beau Bridges,5017,M
Smilla's Sense of Snow (1997),Bille August,6.4,11836,1997,Action,2221994,35000000,121,Richard Harris,996,M,Julia Ormond,1609,F,Robert Loggia,2695,M,Jim Broadbent,2938,M,Vanessa Redgrave,3130,F,Gabriel Byrne,3207,M
One Night with the King (2006),Michael O. Sajbel,6.3,5843,2006,Biography,13538582,20000000,123,Peter O'Toole,2032,M,John Rhys-Davies,2749,M,Luke Goss,3048,M,Omar Sharif,4094,M,John Noble,4504,M,Tommy 'Tiny' Lister,4521,M
Pain & Gain (2013),Michael (I) Bay,6.5,163549,2013,Comedy,86175291,26000000,129,Dwayne Johnson,242,M,Ed Harris,256,M,Mark Wahlberg,398,M,Bar Paly,925,F,Peter Stormare,1137,M,Rebel Wilson,1316,F
A Nightmare on Elm Street 4: The Dream Master (1988),Renny Harlin,5.7,36974,1988,Horror,49369899,13000000,99,Robert Englund,1234,M,Linnea Quigley,4967,F,Tuesday Knight,6149,F,Rodney Eastman,6608,M,Renny Harlin,6896,M,Lisa Wilcox,9121,F
The Devil Wears Prada (2006),David (I) Frankel,6.8,290895,2006,Comedy,326551094,35000000,109,Emily Blunt,42,F,Anne Hathaway,344,F,Meryl Streep,578,F,Daniel Sunjata,1252,M,Stanley Tucci,1523,M,Rebecca Mader,1897,F
Are We Done Yet? (2007),Steve (III) Carr,4,15802,2007,Comedy,49968665,28000000,92,Nia Long,523,F,John C. McGinley,599,M,Ice Cube,1833,M,Jacob Vargas,3739,M,Tahj Mowry,4567,M,Hayes MacArthur,6131,M
Blue Streak (1999),Les Mayfield,6.3,61296,1999,Action,117758500,65000000,93,Luke Wilson,2184,M,Martin Lawrence,2464,M,Dave Chappelle,2696,M,Nicole Ari Parker,2990,F,Octavia Spencer,3215,F,William Forsythe,3922,M
Things to Do in Denver When You're Dead (1995),Gary Fleder,6.8,22564,1995,Crime,529766,7000000,115,Fairuza Balk,418,F,Christopher Lloyd,712,M,Christopher Walken,1128,M,Gabrielle Anwar,1345,F,Steve Buscemi,1362,M,Andy Garcia,1798,M
The Big Tease (1999),Kevin (I) Allen,6.3,2142,1999,Comedy,185577,4000000,86,Donal Logue,2574,M,Ted McGinley,4078,M,David Hasselhoff,4107,M,Caitlyn Jenner,4156,F,Drew Carey,4598,M,Craig Ferguson,5882,M
Poolhall Junkies (2002),Mars Callahan,7,8593,2002,Drama,562059,4000000,99,Anson Mount,915,M,Christopher Walken,1128,M,Michael Rosenbaum,1547,M,Ricky Schroder,4855,M,Chazz Palminteri,5737,M,Rod Steiger,6473,M
The DUFF (2015),Ari Sandel,6.5,53539,2015,Comedy,34017854,8500000,101,Bella Thorne,149,F,Mae Whitman,411,F,Robbie Amell,585,M,Allison Janney,862,F,Skyler Samuels,2017,F,Nick Eversman,2899,M
The Ref (1994),Ted Demme,6.9,19387,1994,Comedy,11439193,11000000,96,Kevin Spacey,726,M,J.K. Simmons,810,M,Christine Baranski,1148,F,BD Wong,2577,M,Denis Leary,4740,M,Glynis Johns,5254,F
Sherman's Way (2008),Craig M. Saavedra,5.5,507,2008,Comedy,9626,650000,97,Lacey Chabert,106,F,Brooke Nevin,1994,F,Thomas Ian Nicholas,2111,M,Ryan Hansen,2974,M,James Le Gros,4031,M,Enrico Colantoni,6121,M
Escape from L.A. (1996),John (I) Carpenter,5.7,54990,1996,Action,42277365,50000000,101,Wyatt Russell,498,M,Kurt Russell,686,M,Bruce Campbell,700,M,Steve Buscemi,1362,M,Pam Grier,2325,F,Valeria Golino,3275,F
Larger Than Life (1996),Howard Franklin,5.5,5433,1996,Comedy,8289972,30000000,93,Matthew McConaughey,62,M,Bill Murray,195,M,Keith David,2222,M,Jeremy Piven,2819,M,Linda Fiorentino,2946,F,Janeane Garofalo,3068,F
Birth (2004),Jonathan (I) Glazer,6.1,29921,2004,Drama,23925492,20000000,100,Nicole Kidman,415,F,Peter Stormare,1137,M,Anne Heche,1319,F,Ted Levine,1456,M,Danny Huston,2226,M,Lauren Bacall,2806,F
The Informers (2008),Gregor Jordan,5.1,14438,2008,Crime,300000,18000000,98,Winona Ryder,30,F,Angela Sarafyan,75,F,Katy Mixon,118,F,Amber Heard,160,F,Austin Nichols,179,M,Billy Bob Thornton,433,M
Terminator 2: Judgment Day (1991),James (I) Cameron,8.5,758707,1991,Action,519843345,102000000,153,Arnold Schwarzenegger,382,M,James Cameron,1292,M,Robert Patrick,1294,M,Edward Furlong,1622,M,Danny Cooksey,1700,M,Xander Berkeley,2484,M
What About Bob? (1991),Frank Oz,7,50762,1991,Comedy,63710000,35000000,99,Bill Murray,195,M,Richard Dreyfuss,1356,M,Kathryn Erbe,4910,F,Reg E. Cathey,5838,M,Charlie Korsmo,6403,M,Julie Hagerty,6560,F
Paul Blart: Mall Cop (2009),Steve (III) Carr,5.2,85114,2009,Action,183293131,26000000,91,Kevin James,965,M,Bobby Cannavale,2042,M,Jayma Mays,2699,F,Steffiana De La Cruz,3959,F,Allen Covert,5302,M,Gary Valentine,5327,M
Beverly Hills Ninja (1997),Dennis (I) Dugan,5.5,31099,1997,Action,37639029,18000000,88,Billy Connolly,3668,M,Chris Rock,4182,M,Nicollette Sheridan,4299,F,Chris Farley,4302,M,Nathaniel Parker,5641,M,Richard Kline,6589,M
Enchanted (2007),Kevin Lima,7.1,144507,2007,Animation,340487652,85000000,107,James Marsden,226,M,Susan Sarandon,524,F,Patrick Dempsey,803,M,Timothy Spall,2654,M,Idina Menzel,2734,F,Michaela Conlin,3306,F
Shocker (1989),Wes Craven,5.4,11608,1989,Comedy,16554699,5000000,109,Heather Langenkamp,1027,F,Wes Craven,1705,M,Brent Spiner,1867,M,Peter Berg,2326,M,Ted Raimi,3369,M,Mitch Pileggi,5727,M
Another Year (2010),Mike (I) Leigh,7.3,23874,2010,Comedy,19722766,10000000,129,David Bradley,2395,M,Ralph Ineson,2473,M,Jim Broadbent,2938,M,Imelda Staunton,3489,F,Phil Davis,4771,M,Lesley Manville,7483,F
Avengers: Age of Ultron (2015),Joss Whedon,7.5,479080,2015,Action,1405413868,250000000,141,Cobie Smulders,41,F,Hayley Atwell,65,F,Scarlett Johansson,89,F,Idris Elba,104,M,Linda Cardellini,107,F,Chris Hemsworth,133,M
The Secret Agent (1996),Christopher (I) Hampton,5.8,1918,1996,Drama,106606,7000000,95,Christian Bale,247,M,Robin Williams,795,M,Patricia Arquette,1468,F,Jim Broadbent,2938,M,Bob Hoskins,4938,M,Eddie Izzard,5873,M
Armed and Dangerous (1986),Mark L. Lester,5.5,8600,1986,Action,15945534,12000000,88,John Candy,652,M,Jonathan Banks,2175,M,Robert Loggia,2695,M,Eugene Levy,4113,M,Tommy 'Tiny' Lister,4521,M,Brion James,7957,M
